Total 15-24 employment to population (%),1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,50.4000015259,50.2000007629,50.4000015259,50,50,50,50.0999984741,50.0999984741,50.0999984741,50.2000007629,50.7999992371,50.5999984741,47.7999992371,50,45.9000015259,48.7999992371,48
Albania,38.9000015259,38.5,38.5999984741,38.7999992371,38.7999992371,38.2000007629,38.4000015259,38.0999984741,37.7000007629,37.4000015259,37,36.7999992371,36.4000015259,35.9000015259,35.5,35.2000007629,35.5999984741
Algeria,25.3999996185,24.7000007629,25.2000007629,25.1000003815,23.7000007629,24.6000003815,25.2999992371,24.7999992371,24.2999992371,23.2000007629,24.8999996185,25.7000007629,26.8999996185,31,32.5,34.7999992371,34
Angola,69.0999984741,68.5,69,68.9000015259,69.9000015259,69.9000015259,69.5,69.0999984741,68.9000015259,68.9000015259,68.8000030518,68.6999969482,68.4000015259,68.3000030518,68.0999984741,67.5,67.6999969482
Argentina,42.9000015259,43.2999992371,43.2999992371,43.7999992371,43.5,44,44,43.2999992371,42.2999992371,42.2000007629,41.2999992371,40,41.2999992371,40.7000007629,40,39.4000015259,39
Armenia,23.7999992371,21.6000003815,21,22.5,21.3999996185,22.2999992371,21.8999996185,22.2000007629,22,22.8999996185,23.8999996185,24.2000007629,24.5,24,24.1000003815,23.7999992371,25.6000003815
Australia,57.5,55.9000015259,55.9000015259,58.5,60.9000015259,60.5999984741,59.0999984741,59.9000015259,61.0999984741,62.0999984741,61.2000007629,61.0999984741,61.7999992371,62.2999992371,63.4000015259,63.9000015259,64.3000030518
Austria,61.2999992371,61.7000007629,58.7999992371,59.2999992371,57.2999992371,55.5999984741,54.9000015259,54.2000007629,53.9000015259,53,51.7000007629,51.7999992371,51.4000015259,51.9000015259,53.0999984741,54.2000007629,52.5
Azerbaijan,38.0999984741,38.0999984741,37.9000015259,38.0999984741,36.2000007629,36.7000007629,37.0999984741,36.7000007629,37,37.0999984741,37,36.9000015259,37.2999992371,38.7000007629,36.7999992371,35.2000007629,39.2000007629
Bahamas,45.2000007629,43.0999984741,45.2999992371,45.0999984741,46.7999992371,44.2999992371,44.0999984741,46.2000007629,45.5999984741,45.5,45.5999984741,43.5,41.2000007629,42,43.5,45.2999992371,43.2999992371
Bahrain,32,32.0999984741,32.0999984741,32.2000007629,32.4000015259,32.5,31.7999992371,32.4000015259,32.9000015259,33,33.0999984741,32.7000007629,32.2999992371,31.7999992371,31.5,30.7999992371,30.3999996185
